Review_Text,Improvement_Suggestion
I love the challenges available in the app. They keep me motivated and engaged in my fitness journey.,Continue offering engaging challenges to keep users motivated in their fitness journey
The app has helped me learn more about nutrition and make healthier food choices. It's been a valuable tool for my overall well-being.,Continue providing educational resources on nutrition and supporting users in making healthier food choices
"I had a hard time. While opening the app, it never takes you directly to the home screen. It always opens a chatbox bugging you to buy a plan.",Improve app's home screen navigation
"After paying $99 for calorie tracking, my plan didn't get activated. When I emailed them with this problem, they replied that my issue has been solved, but it didn't.",Resolve activation issues for paid plans
Overall good experience with the app and with customer support team. Only thing is that they do not provide any confirmation regarding phlebotomist visit in time so there is always a confusion if the sample pickup will be there or not next day morning and do we fast or not. Also the cost of individual tests are too much. Only good if you select a package which seems unnecessary at times.,"Improve communication regarding phlebotomist visit confirmation, reduce individual test costs, provide more flexibility in test selection"
"Loved their entire service, right from the information available on the app, ease of booking the tests, the number of test in different packages, the deals on them too and finally the collection of samples with provision of rescheduling them (which I had to avail). Everything was very smooth and the best part was the extensive & detailed reports were available same day. Keep up the good work.","Maintain information availability and ease of use, continue providing various test packages and deals, ensure smooth sample collection and rescheduling, deliver detailed reports promptly"
"Test report format good for reading on computer. But little information is spread across many pages. It is expensive to print, many doctors don't like to read on mobile screens and insist on paper reports. They should have single page printout option that contains all test results with all the figures in a single page. It's good for me and my family The app is very attention hogging. Wants to be in the notification bar all the time. It apparently wants me to do a blood test every day.","Introduce single-page printout option with all test results, reduce attention-seeking notifications"
"Test report format good for reading on computer. But little information is spread across many pages. It is expensive to print, many doctors don't like to read on mobile screens and insist on paper reports. They should have single page printout option that contains all test results with all the figures in a single page. The app is very attention hogging. Wants to be in the notification bar all the time. It apparently wants me to do a blood test every day.😳","Introduce single-page printout option with all test results, reduce attention-seeking notifications"
Professional services. Really liked the sample collection process and the. detailed reporting feature. The sample collector folks are experienced enough to take the sample without any hassle and with utmost ease. One thing that needs to be improved is the CCN . Nobody picks up the call while trying to reach the CCE in the number provided. Also the call back feature is not working at all.,Improve customer support response and call back feature
"Test and result is instant, but never paying for report hardcopy. I don't know if it only happened to me, but I haven't received my test report hardcopy. It's been over a month and when I tracked with given the AWB number on email, it said its received but I haven't received anything yet though I paid. It's not a very big amount but people work hard for every penny and when I called the customer care there was no option to resolve for the same. Really disappointed.",Resolve the issue of missing test report hardcopy and improve customer care support
"I had a terrible experience with the Healtier application. Initially, they accepted my booking for sample collection and even took payment. However, on the day of the sample collection, they informed me that the location was not serviceable. This was a huge disappointment, as it wasted my entire day. It's frustrating that neither the application nor their agents knew if the location was serviceable at the time of booking. It seems like they don't care about customer money and time.",Address the issue of location serviceability and improve communication with customers
"Update: 03/May/2023 Have been using Healthians health check ups and the App for exactly two and a half years now, for self and family. Have found it to be accurate and effective, with very modern and well presented reports, directly in your mail as well as the app. The App helps you to have all your test results at your fingertips, with historical comparison of test results of all members, individually. Extremely useful.","Continue providing accurate and effective health check-ups, improve report presentation, enhance convenience with historical test result comparison"
"The app needs to be updated in terms of being faster / user friendliness. There is no delete option for members already added, and on top of that any edit done, remains unresponsive. I was 65 yrs old while my parents were both 44 only 😁and my mother's name was different. I had to call customer help.","Improve app speed and user-friendliness, add delete option for members, fix unresponsive editing feature"
"Overall Very good experience, But Just only one ask, Please tell the person who is came for test is using proper safety methods like wearing gloves and they couldn't find vein easily so many times puncture the vein, which is very painful. Provide proper machine for choosing proper vein to collect blood sample so Make it easier.","Ensure phlebotomists follow proper safety methods, provide tools for easier vein puncture"
"Not recommended! Ive booked USG scan twice using this app and both times lab said that they have not received any confirmation from healthians. The same lab charged me for more amount for the same scan which I got on discounted price on this app. It's good for blood tests but if you're going to a lab after booking appointment on this app, be careful.","Address the issue of lab confirmation for scans, ensure accurate pricing for tests"
"This app is very useful, helps to get your whole body checked up at once, and reduces your wastage of time by roaming path labs. The report of this Healthians app is very accurate. Thank you team Healthians for such hygienic and pain-free collection, and for good behavior. I have had a great experience with Healthians, I am very happy. Thank you so much.","Highlight the convenience of whole body check-ups, emphasize accurate reports, maintain hygienic and pain-free collection process"
"I am lost while reading the report, so much visual add no value, 14 pages report infographics, meaningful only 4 pages...doctors also get pissed off finding data in the overall design... Your green red, amber color are no use when you get B/W printouts... No reputed hospital doctors take patients mobile in hand to see digital reports. Give simple table format reports... Easy to print... Keep it simple please.",Simplify report design with fewer visuals and emphasize table format for easy printing and readability
"The app is good service and reports, but the sales executive disturbs and bothers you a lot! Once you just open the app they start calling you so much even after telling them not to do so. You can book tests by yourself when needed, why to bother so much repeatedly. Please improve! As it irritates, you will choose other app diagnostics.",Reduce sales calls frequency and respect customer preferences
"I just downloaded this app and checked about it. Suddenly I started receiving a call for more than 10 calls in 24 hrs. Don't know why they are calling. Very bad experience with this app. Unwanted calls to disturb. Don't even download it, they will start calling.",Address the issue of unwanted calls and respect customer privacy
"The checkup service is decent, but when we try to book a test, we receive numerous calls from people trying to sell us test upgrades. These callers repeat the same thing over and over again, and they don't hang up even when we tell them we're busy.",Improve customer experience by reducing sales calls and respecting customer preferences
"One of the worst applications which can literally cause a person to fall ill. They provide you discounts to get tests done. My first mistake was to install this application and then my second greatest mistake of my whole life is selecting a package, adding it to the cart, and closing the application. Boom, my life is finished, a tsunami of calls will take you within a few days only. They call you even late at night when you are having your own time. Requesting all of you, don't install. Love your life.",Improve customer experience by reducing sales calls and addressing the issue of excessive follow-up
Good experience. I tried it for the first time. Everything went well. The sample was collected on time. Regular follow-up was given by customer care and results were also on time.,"Maintain timely sample collection and result delivery, ensure effective customer care follow-up"
This is entirely a fake rating and the entire Customer care team is horrible. Not at all any proper response. Other apps are far better. They are taking everything in a very casual manner.,Improve customer care responsiveness and address concerns seriously
Very unexpectedly delayed arrival time for sample collection. Would try some other better service provider next time. Total disappointment👎🏻👎🏻👎🏻,Address the issue of delayed sample collection and improve punctuality
"Very good initiative for medical wellness and healthcare services. My experience with Healthians has always been great. Their test booking process is easy, home collection is fine and timely, test reports are accurate, and delivery of test reports is well on time and easy to find on a smartphone. They are a great diagnostic house, far better than the industry-best Dr Lal Path Labs. I advise people to choose Healthians over any other. Regards.","Continue providing easy and timely test booking, emphasize accurate test reports and timely delivery"
"Never ever use this app and expose your contact number to them. They will keep calling you multiple times every day despite telling them not to call. I have never seen any company exploiting the contact number to that extent. You shouldn't be asking for a contact number, rather train the help desk team properly so they don't get on people's nerves.",Address the issue of unwanted calls and respect customer privacy
Calling people at 7 am in the morning just because they did an app search for a test is almost equivalent to harassment. On the verge of uninstalling. My expectation is not only for myself. Please communicate to the business teams that you cannot call existing customers just because they did a search. You can use that information while sending me notifications or emails. I'm already an acquired customer.,Improve communication methods and respect customer preferences
"Excellent service. Absolutely correct report & everything done on time, starting from sample collection to delivery of the report. I am highly satisfied with their services.","Maintain accurate reports, timely sample collection, and delivery of reports to ensure customer satisfaction"
"Overall a good experience. Easy booking, competent staff who come for the samples, and quick receipt of reports. The only drawback is that the cost mentioned at the time of booking is less than what they expect. I had to pay 100 rupees more the first time after my son's samples were collected and 200 rupees more on the second booking after my samples were collected. That was the only disappointment.",Ensure transparent pricing and accuracy in cost estimation during booking
"Have been using the Healthians app for the past 2 years and have had a satisfactory experience. The tests are comprehensive, reports are detailed, and the home collection service is convenient. However, the app could use some improvement in terms of user interface and navigation. Sometimes it takes a bit longer to find the desired information. Overall, a decent app for health check-ups.","Improve app user interface, navigation, and information accessibility"
Not able to login now. Scan lab at Aarthi not working properly. They have many problems like server down. They don't even reply properly. It's been 3 days I'm not getting my ECG and Chest report. Worst experience.,Improve login functionality and address server issues
"I had a very good experience with this app. Their service is on time, and they provide consultation calls after your report and also suggest medicines. Overall great experience 😊😊",Maintain timely service and improve post-report consultation
"This app takes the first place for the worst service. The sample collector doesn't know how to take a sample. He didn't allow us to select the package from our phone; instead, he was insisting on adding the package from his phone by himself. Customer service is of no help!!",Improve sample collection process and enhance customer service
"Poor customer care. Booked an appointment, and the doctor didn't call at all. No way to speak to a representative. Had to raise a ticket, however, it doesn't give the option of this concern while raising a ticket.",Enhance customer care and improve ticketing system
Nice and punctual services. Sample collector maintained good hygiene. Overall good experience from booking to reports. Can recommend to others.,Continue to provide punctual and hygienic services
"My experience is very nice. Price is very reasonable. The guy comes on time to collect the blood, and in the end, we got free consultation from Healthians, which is very nice.",Maintain reasonable pricing and provide free consultations
"Easy to use and quick turnaround. Easy to manage all the reports. We can download the reports when needed. In case of a physical copy, just select it during the booking process. We also received the physical printout copies via courier.",Improve report management and provide a seamless download experience
All services such as sample collection and ease of understanding the reports are very good. Sample collection person always comes on time. Very happy with the services.,Continue to provide good sample collection services and improve report comprehension
Difficult to add your intake. Bug while deleting misspelled words. Then very slow in showing results...,Simplify adding intake and fix bugs in word deletion and result display
Loved the experience. The main thing I liked the most is they come early in the morning as some tests are to be done on an empty stomach.,Continue to provide early morning appointments for fasting tests
Super fast service with accuracy. Strongly recommend to everyone looking for a complete solution to body checkup.,Maintain fast and accurate service and promote it to a wider audience
Totally professional in terms of how they do the tests and send the results. The real-time tracking of test results is something unique and good. Love the app.,Continue to provide professional testing and improve real-time result tracking
"Wish if you never ever have to use any medical service, but in case required? Go for Healthians. Awesome experience with health tests and got a decent discount every time. Kudos to the Healthians team!",Continue to provide a good experience with health tests and offer discounts
Very good experience in sample collection. Staff made us comfortable to have the process quick and painless.,Maintain a comfortable and painless sample collection process
"This is not a good app for the test. I took the full body checkup 4.0, and all the reports have partial information. The customer care of Healthians is not helpful. Bad experience.",Improve test reports to provide complete information and enhance customer care
"Excellent service. Very good staff. Very simple, easy, and informative reports.",Continue to provide excellent service with a supportive staff and improve report simplicity
"Professional services. Really liked the slot booking process, sample collection, and report generation. But the most annoying thing is the customer care calls, even if you open the app just to check the reports.",Enhance customer care by reducing unnecessary calls and improve the slot booking process
They repeatedly call for tests. Irritating sales team. Can someone please provide them feedback to not call customers for tests.,Address the issue of repeated calls for tests and improve the sales team's communication
"Worst services they have... They charge lots of extra money for the test you seek mentioned in the package, saying that you won't get it in the package and you might need to select another one for the same. Please avoid using this application.",Avoid charging extra for tests included in packages and improve transparency
"Transparency and ground level coordination are key points in this line of business. I have requested lab testing and found that the cash quoted through Healthians payment link is higher than cash collected from the lab. Also, why the hell appointments, tracking in WhatsApp through bots are needed when the lab rejects the same.",Improve transparency in pricing and address issues with appointments and tracking
Very good experience. No hassles. Timely sample collection and report.,Continue to provide a hassle-free and timely experience with sample collection and reports
"My cousin told me about it. I get tests every month, and I trust them a lot. The cost is so affordable, and the results are so accurate.",Maintain affordable pricing and accurate test results
"Very unprofessional organization. There was continuous follow-up till payment. After that, there was no information on assigning a technician for sample collection. How can you be so unorganized?",Address issues with follow-up and improve organization in assigning technicians
The sample collection process was quick and hygienic. The reports were also generated in less than 24 hours. Too many calls and texts are frustrating and annoying; you must stop this.,Maintain quick and hygienic sample collection and reduce unnecessary calls and texts
"I have had a very good experience with Healthians. The service is very good, and all the staff members are very supportive.",Continue to provide good service and support from staff members
Entire services are excellent. They are providing very good service at a budget price. All tests and reports are perfectly done.,Continue to provide excellent services at a budget price and ensure accurate test reports
"Very bad experience with Healthian lab. Delayed the most important test. I have been waiting for the reports of the triple marker test since 15th May, but still nobody cares.",Address delays in test results and improve customer support
"I used to love this app so much. Booked more than 10 full body checkups for my family members through this app. But thanks to your calls, I am never going to use this again. Even after telling you not to call, you guys just keep calling again and again. Never going to use this app again.",Improve communication and avoid unnecessary calls
Professional services. Really liked the sample collection process and the. detailed reporting feature. The sample collector folks are experienced enough to take the sample without any hassle and with utmost ease...🙌,Continue providing professional services with efficient sample collection and detailed reporting
"I have booked test 2 times from two days .. booking confirmation but sample collector didn't come in my house , my money is deducted and patient is on fast from two days regularly, they are irresponsible...",Improve the reliability and responsiveness of sample collectors to ensure timely sample collection and avoid inconveniences
Very bad experience with healthians. We booked an appointment for blood tests in ulwe location with the payment and on the day of sample collection after doing 12hrs fasting no one contacted from their end for the sample collection. And after calling their sample collector he told that this area is not coming under their service area. I do not recommend this.,Enhance communication and coordination to ensure timely sample collection and avoid miscommunication about service areas
"It was a nice experience of my day. When I reached healthians lab the receptionist talked with me in a very kind and polite way. The technique of lab collection was very good. I didn't feel pain when they inserted a needle in my vein. Now, I want to talk about the price compared to other laboratories. The price of every blood test is affordable. Overall, my experience was very good.","Continue providing a positive and pleasant experience with polite staff, painless lab collection, and affordable prices"
"1 star is also waste for this app don't use this app. They have given me the wrong lab report. In the healthians report, I got the result as thyroid present but after 2 days I checked in a normal lab and got the result as thyroid absent. Worst service, waste of time and money.",Ensure accurate lab reports and improve the quality of service to avoid wrong results and customer dissatisfaction
"Very poor management. I booked the test with the help of a person called me from healthian team. She committed the discount on the test and fixed a certain amount. Then a link came on my WhatsApp to pay the amount without a discount, that was shocking. I didn't pay, the next day the sample was collected by a person from healthians and asked for the full amount. I had to inform him about the discount, he went with the sample without taking money. The next day the phone comes and the person asking for the full amount, I had to inform again",Improve management and coordination to avoid miscommunication about discounts and ensure proper billing procedures
"Experience was good but the reports checking was 72 hours but it was delivered within 2 to 3 hours, I hope it's all done carefully",Maintain efficient report delivery within the promised timeframe and ensure accuracy
I have booked health tests several times. A few times the sample was not collected. Overall good service.,Address the issue of missed sample collection to ensure a consistent and reliable service
"Very very bad service. I had requested your employee that this report is urgent, so please send it to the executive on time. Your executive has not come in both the reports, why? The executive is not coming on time, very very bad service",Improve timeliness and responsiveness of the service to ensure timely delivery of reports and avoid inconveniences
"As many times as the team calls, everyone informs separately..",Coordinate and improve communication within the team to avoid multiple calls and ensure consistent information
"All good. But in recent times, the pricing is increasing drastically",Review and reconsider pricing to avoid a significant increase and maintain affordability
"I booked tests for my mother through their customer care. For the selected tests, he said it is costing Rs. 3298 for which I received a link for payment and payment is done. The next day, the representative came for sample collection, but in the app, it is showing that an additional amount of Rs. 2001 has to be paid. When the price is agreed already and the amount paid, not sure without any intimation price has been increased. When connected with the customer care person, he said a call will be arranged but no call.",Address the issue of unexpected price increases and ensure proper communication with customers regarding payment
I had an amazing experience with Healthians. They provide very quick sample collection and a very significant report.,Continue providing quick and efficient sample collection with accurate reports
"Opt only for basic health checkups. For complex ones, simply avoid. I got myself tested for allergy twice and both times different results, not sure they even test or just paste some random results.","Improve reliability and accuracy in testing, especially for complex health checkups"
"Worst App and services rendered by the company. Provides false Map locations and if payment done prior to test, the labs deny payment and you need to suffer the situation. So I don't recommend you guys to use Healthians. Use 1mg instead, they will provide you the best services.",Avoid using Healthians due to false map locations and issues with payment; consider using 1mg for better services
"I had explored the app to book a test but for some reasons did not book it. I am getting calls since morning from different people that do you want to book a test? Each and every time I am saying that I don't need it as of now, the person on the line says, 'Ok sir, I am putting it on DND,' but alas I am getting regular calls and messages, almost 9 since morning. Seriously, you have no consideration for someone else's timing. Was a regular user, will never use it again.",Improve the system to respect users' preferences and avoid unnecessary calls and messages
"Very bad experience! After just visiting the app, I have gotten 20 calls from them. Very predatory marketing behavior.",Address the issue of excessive and aggressive marketing calls to ensure a better user experience
Booked a test. They cancelled it at the time of sample collection. Very bad service and told me they don't do this test at your place,Improve service reliability and avoid last-minute cancellations for better customer satisfaction
"I have a very good experience with this app. Most importantly, they are very much committed in terms of time, collected samples from home on time, and delivered reports even before time. Reports are actually genuine. I fully recommend this app for getting tests done.",Maintain punctuality in sample collection and report delivery to ensure customer satisfaction and trust
"Worst service. I consulted with two doctors (SX266316 and B266217) and both of them mentioned the wrong gender in the prescription. I contacted their customer care more than 5 times and responded to their endless calls on the same, but the issue never got resolved. Tired of following up with them over such a small issue.",Address the issue of incorrect gender mentioned in prescriptions and improve customer support in resolving such issues
Hassle-free booking and suitable time slots are easily available without any additional charges.,Continue providing hassle-free booking with convenient time slots and transparent pricing
"Worst experience, after getting reports I waited for more than 48 hours for the doctor to call me, but after so many follow-ups, no one called me. Don't use this app, go to your nearby labs.",Improve follow-up process and ensure timely doctor consultations for better customer experience
"Want to give 0 stars but it is not possible. Don't install this, these guys will irritate you by calling again and again even when you don't want to use their services. One executive also misbehaved with me, saying, 'Do whatever you want to do..'",Address the issue of excessive and annoying calls and improve customer service professionalism
"Very user-friendly app, and you can literally find whatever health-related tests or remedies you want on this app. Good coupon system as well. Thank you.",Maintain user-friendliness and a wide range of available tests and remedies for customer convenience
"Worst service ever. The company takes only 1 test and charges extra for the test. As I clearly mentioned on the call that I want 2 tests, and the next day when the sample collector came, he said that the app shows only 1 test and he also charged extra for that test. Customer service is very poor; they didn't even pick up the call. If anyone wants to book the test, they will reply instantly, but if somebody needs help, they don't reply. I will never use this app again.","Address the issue of inconsistent test booking and pricing, improve customer service, and ensure prompt responses to customer queries"
"Worst experience, when you just add the test to your cart, the customer care just starts calling you repeatedly and automatically books your appointment. Worst app ever.",Improve the app's behavior of automatically booking appointments and avoid excessive calls to customers
"Quite happy with the service. Gave my sample in the morning at 11 (was collected at doorstep) and got my report in the evening at 7. Also, the follow-up process on WhatsApp felt good. Overall satisfied with the service provider. Thank you.",Maintain prompt sample collection and report delivery to ensure customer satisfaction
"Very good experience, especially my mother is highly diabetic. For that, glucose fasting test is very important, and often other lab people come very late, and my mother faces lots of problems after starving for a long period. Thank you, Healthians, for maintaining the correct time of blood sample collection.",Continue maintaining punctuality in blood sample collection for customers with specific needs
"Confusing and misleading. CBC blood test shows the price as 150. Adding it to the cart shows 150. When I checkout, it shows 499. Other packages (typhoid, etc.) which include CBC are much cheaper than CBC alone. Makes no sense. Please fix your pricing.","Address the issue of confusing and misleading pricing, and ensure consistency and transparency in test package prices"
"Awesome experience. As the app says, 'kyunki baat Accuracy ki hai' (because it's about accuracy), that is 100% correct. The time of sample collection, report timing, their customer care service, doctor's consultation, everything was great and perfect.","Maintain accuracy and efficiency in sample collection, report delivery, customer care service, and doctor's consultation"
"Never use this app. They will start irritating you through messages or calls. Although their services are really good, they need to improve their marketing strategy.",Address the issue of irritating messages and calls while maintaining good services
5 vials of blood collected where 3 are sufficient in most cases. The sample is not submitted to the lab on the same day and is submitted the next day. Resampling initiated. Why do you think I would give the sample again?,Ensure proper sample collection and submission to the lab on the same day to avoid inconvenience to customers
My appointment was scheduled for 10:00 am. I got a confirmation message and call as well from the lab executive. But at 12:00 pm I got a call from the executive that he will not be able to come to collect the sample as he is very far from my place. What a waste of time. This is the second time this has happened with Healthians. Very poor service.,Improve scheduling and coordination to avoid last-minute cancellations and inconvenience to customers
"The app is good but customer service is pathetic. They simply don't care about customers. I booked an appointment and the sample collector called me, I waited for 3 hours but he didn't turn up. I called him multiple times but he didn't pick up. Then I called customer care and they told me to wait for some time. I waited for another 2 hours but no response. Finally, I had to cancel the appointment. Pathetic service.",Improve customer service responsiveness and address issues with sample collectors to ensure timely sample collection and better customer support
"I booked the package of 1899 which includes 81 tests. After blood collection, the executive said that only 56 tests would be conducted. I asked him to change the package, he said that's not possible, and if you want to change, you will have to cancel the appointment. Very poor service. I will not recommend this app to anyone.",Improve clarity and transparency in package details and provide flexibility for customers to change packages if needed
"Very bad experience. Booked an appointment and paid 2499 rupees, but the representative didn't come to collect the sample. When I called the customer care, they said that the executive has refused the order because the address is out of serviceable area. When I asked for a refund, they said it would take 7-10 working days. Very poor service. I will never use this app again.",Address the issue of sample collection refusal for out-of-serviceable areas and improve refund processes for better customer satisfaction
"Very bad experience. The executive came for sample collection but he said that the test is not available. I asked him to check with his office, he called someone and said that the test is not available. I had to cancel the appointment. Very poor service.",Ensure proper availability of tests and avoid situations where sample collection cannot be completed due to test unavailability
"Very bad experience. I booked an appointment and paid online. The representative came for sample collection and collected the sample, but after that, he said that the test is not available. I asked him why he collected the sample if the test is not available, he said that he didn't know. I had to cancel the appointment. Very poor service.",Ensure proper availability of tests and avoid situations where sample collection cannot be completed due to test unavailability
Very bad experience. The representative came for sample collection but he didn't bring the necessary materials. He said that he will bring them the next day. I had to cancel the appointment. Very poor service.,Ensure representatives come prepared with the necessary materials for sample collection to avoid inconveniences for customers
Very bad experience. The representative came for sample collection but he didn't have the required equipment. He said that he will bring it the next day. I had to cancel the appointment. Very poor service.,Ensure representatives come prepared with the required equipment for sample collection to avoid inconveniences for customers
Very bad experience. The representative came for sample collection but he didn't know how to collect the sample. He said that he will bring someone who knows how to collect it. I had to cancel the appointment. Very poor service.,Ensure representatives are trained and knowledgeable in sample collection procedures to avoid inconveniences for customers
Very bad experience. The representative came for sample collection but he didn't have the necessary forms. He said that he will bring them the next day. I had to cancel the appointment. Very poor service.,Ensure representatives come prepared with the necessary forms for sample collection to avoid inconveniences for customers
Very bad experience. The representative came for sample collection but he didn't have the required documents. He said that he will bring them the next day. I had to cancel the appointment. Very poor service.,Ensure representatives come prepared with the required documents for sample collection to avoid inconveniences for customers
"It's a fine app to be honest. I tried it once. Good and timely service indeed. The one major problem y I Uninstaller and blocked the app is that they keep spamming. When u just check their app out, and close it ., u strt getting calls from the agents right away and when u don't pick up, they keep calling again and again at all odd times. One of their customer service agents whatsapped me from his personal contact telling me to provide discounts other than the app itself. Don't install this app",Improve spamming issue and avoid aggressive calling
"Fraud App, tele callers,They spam you by calling, I was about to book the test from healthaians but their caller called 8-10 times and said very high cost say 1500/- when I told price for this same pkg is 990 in you App they said no it is not correct then post call I checked in app the price was changed to 1500, very poor technique used. I doubt about the quality of test dont use this fraud app, No worries but just got saved from such mis selling.",Address pricing discrepancies and improve customer service
Poor service can't keep the promises made at the time of consultation No doctor available to connect Keeps putting your call on hold for longer period of time Opt for any other application,Enhance service quality and reduce call waiting times
"Nice app, safe and quick and good customer care reposnse",Maintain good customer care response and ensure safety and quickness
It is complicated to use the app every option leads to calling their executive. Even search option is not working.,"Improve app usability, reduce reliance on calling executives, and fix search functionality"
Easy to book on much competitive rates on App and collection staff is very experienced and good in nature,Continue providing competitive rates and ensure experienced and friendly collection staff
The sample collector Chetan was amazing and so informative that he gave additional information and was super good in getting the blood test done without any pain,Recognize the excellent performance of the sample collector and maintain the painless experience
Not recommended they take so much time to send reports it's better to go to any nearby path lab...,Improve report delivery time to avoid customer dissatisfaction
Worst app.....one can not edit even the basic things like profile.....customer care are even worst as they said to uninstall and then reinstal,Enable basic editing features and enhance customer care support
Excellent precise and timely service recent booking was very good and time commitment,Maintain precise and timely service with consistent time commitments
It was very nice experience with healthians thanks you for providing very good facilities 😊👍,Acknowledge the positive feedback and continue providing good facilities
"Worst App Ever. They won't attend your call if it is required. But if they want to sell something they call you 100times in a day l, offering you different type of discount on their packages. Inspite of that they representative doesn't carry any equity just and needle and syringe for blood sample. I had very bad experience with representative person, he was chewing tobacco. So fake service, fake test, fake app. Stay away from this type of frauds.","Address poor customer service, ensure representative professionalism, and improve overall service quality"
Customer service is pathetic. Not able to resolve any issues and sending a missing report,Improve customer service and resolution of issues
"Experience is very good , Blood sample collection, reports and consulting also very good","Acknowledge the positive feedback on blood sample collection, reports, and consulting"
Satisfied by the quality of service. Call back service and post check-up call are the key points.,Continue providing quality service with emphasis on call back and post check-up calls
"Useless application. I would say. Waste of space to install app, waste of money to book with this app, waste of time to go through the trauma this app creats & waste of money to book with this app.",Improve app functionality and avoid wasting users' time and money
Quick response. Excellent dealing. Accurate results.,"Maintain quick response time, excellent service, and accurate results"
One of the best app for health checkup at home... Consultation service also good,Recognize the positive feedback and maintain good consultation service
Very convenient booking and trustworthy lab,Continue providing convenient booking and build trust in lab services
I have a great experience while I checked up my full Body with Healthians.. 👍,Acknowledge the positive experience of full-body checkup
Offer tests and scan at affordable prices. Hope reports are authentic and authorized. But call you more than 15 times in a day either you booked or not. Their data management system is completely disorganized. Every time there will be a new person.,"Address excessive calling, improve data management system, and ensure authentic and authorized reports"
I'm pretty impressed by the service and the intelligent detailed report. Everything is well organized so just book your slot and relax for sure you will be impressed as well.,"Recognize the positive feedback on service and detailed report, and maintain organization"
"Outstanding punctuality. Pleasant and friendly integration with the sample collector/Executive. Good follow up by the health advisor. However, hard copies of the reports were not provided despite request to the booking executive. Still awaiting the same. Little disappointing.","Maintain outstanding punctuality, pleasant interaction, and improve the provision of hard copies upon request"
Overall useful app in their service with a good price point.,Continue providing useful services at a competitive price point
"Personal data at stake, as soon I signed up, a third-party agent called me on my phone insisting to use his coupon code to avail discount instead of the default coupon code. Cart is empty after adding packages, new member addition is failing, please test the app properly before releasing it to customers",Ensure data security and functionality testing before app release
"Completely harassment after signing up & browsing through their website or application. They will keep you calling endlessly throughout the day, starting from early morning. This is one thing about Healthians that has never changed since years and they never learnt from feedback or reviews. TRAI needs to take action against such business practices.","Address the issue of continuous and excessive calling, and improve customer feedback implementation"
It is quite easy to book and it is quite cost effective. Results are presented properly with a comparison with past tests.,"Acknowledge the ease of booking, cost-effectiveness, and proper presentation of results"
"While entering any drug name, an error pops in and constantly blocks the keyboard. Does not allow entering blood pressure value more than 190/100. Why? Still studying. Looks promising but needs to go miles before you sleep.","Fix errors related to drug names and blood pressure values, and continue improving the app"
"Nice service. On-time arrival for sample collection, followed by status updates. Next day report shared! Reports are detailed and easy. Backed up by measures that can be taken for the outlier results!!!","Acknowledge the on-time service and detailed reports, and maintain effective communication and measures for outlier results"
"Why do you people call a customer if he searches anything on the app? Very cheap marketing skill. If the customer wants to book a test or a scan, he will book it through the app, or if he needs any help, he will call Healthians. Stop this practice.",Cease the practice of calling customers immediately after they search on the app
It's been excellent service by Healthians. It's worth a full-body test at a reasonable price. With new technology machines. Great work by the team.,Acknowledge the excellent service and reasonable pricing for full-body tests
"Very good experience, everything was on time. Reports are also shown in a smart way.",Recognize the positive experience of timely service and smart report presentation
Great experience and quick service.,Acknowledge the great experience and maintain quick service
Thanks. Excellent service. Reports are 100% accurate.,Acknowledge the appreciation for excellent service and accurate reports
"The whole process is terrible. The sample collector instead of doing his work pushing me to buy more tests. The sample collector was 40 minutes late and only started his commute when I called him after 15 minutes of scheduled time elapsed. Within 2 hours of sample collection, I get a message from Healthians that reads my parameters are not looking good, clicked on the link suggested tests include HIV, how pathetic is that. Today, 4 days later still waiting for a ₹120 refund. Overall minus 1 out of 5 stars","Address the issues faced with the sample collector, improve punctuality, avoid suggestive messages without proper cause, and expedite refund process"
Easy to navigate and prompt service,Recognize the ease of navigation and prompt service
"Till October 22, my experience was very good. In October, I booked a package for myself, but at this time, I feel dissatisfied. I recommend your lab to others as I feel fully satisfied.",Acknowledge the previous positive experience and address the dissatisfaction in the recent booking
Quick and easy on the pocket. Customer care is reachable and is responsive too.,"Maintain the quick and cost-effective service, and ensure responsive customer care"
It is really irritating that they keep on calling you. I request users not expose your contact in their app. I've just downloaded the app and was going through the plans and started getting calls. They were literally calling after every 20 minutes. I had to immediately uninstall the app.,Acknowledge the issue of excessive calling and ensure users' contact information is not misused
